nMillisecondsElapsed,nBlue,nGreen,nRed,nAlpha,nIr
64,0.500002302084566,0.4101831892163,0.414964962426115,0.403282727523853,0.235062166240747
130,0.5,0.410243744188342,0.41521365321595,0.403196849518841,0.235471826773482
196,0.403003688436704,0.500001138022506,0.410097265260604,0.415142352549995,0.233519496809783
263,0.5,0.411459029119951,0.416335383539681,0.404785763980147,0.232694199655282
358,0.416185135978096,0.404175405269189,0.5,0.411275405056393,0.234564577833289
411,0.403622652825098,0.500002219750878,0.410538327446731,0.415266262905367,0.233294677434905
469,0.40390240336215,0.500001080440433,0.410817145676365,0.415491885711792,0.233997630652903
544,0.500003235356211,0.410431866660716,0.415471059301134,0.403713826431731,0.234389605111382
612,0.410190328628983,0.414887116081701,0.403087187019538,0.500002227940518,0.233048957506702
684,0.5,0.411095885903204,0.415867748279258,0.404118285540619,0.233836552867098
745,0.415333076826218,0.403293474587264,0.500003386466761,0.409929688567449,0.233960931195907
807,0.415306262942753,0.403361969637228,0.5,0.410153164839992,0.235591170437123
873,0.403563351530569,0.500002081646879,0.411114536674406,0.415841562688879,0.234741260262715
938,0.403951644951374,0.500002109896593,0.410831326403741,0.416099872458928,0.234178337748557
1006,0.500002127021277,0.41170766539439,0.416354885315938,0.404726923136583,0.235103954566429
1075,0.500003219578709,0.411941547058379,0.41667280362171,0.404935627391713,0.232725362478442
1146,0.5,0.412329138534312,0.416613393788543,0.40502707142664,0.234703457751334
1200,0.5,0.411801539146625,0.416870657509596,0.405008517146683,0.235561232471136
1274,0.416307955179359,0.404790120597311,0.500002065684423,0.411576839076153,0.233621473821761
1341,0.500002099582808,0.41173361940258,0.416848072568568,0.404726225506099,0.234806040445848
1411,0.500002072224874,0.412048985169028,0.416959618294272,0.40522988543512,0.234248648146206
1471,0.500002099582808,0.411960760414423,0.416905177752077,0.40490585991195,0.233108581993112
1554,0.404918610497531,0.500001073333344,0.412208315263294,0.416932997495607,0.232630954888518
1635,0.405171430440081,0.500001073333344,0.411728681253191,0.416962188182079,0.233799641191164
1738,0.5,0.411054479461029,0.416107722607689,0.404931057288346,0.234178448193931
1812,0.41643429003146,0.404649544402277,0.500001054232697,0.411547732281261,0.23476760917659
1870,0.416450289273899,0.404975703459073,0.500001054232697,0.411628471163857,0.233212403259026
1940,0.500003121387942,0.411357211078696,0.416031074271123,0.404555094629462,0.233173947938563
2008,0.5,0.411565758009812,0.416640111312923,0.405098979120323,0.235508189548181
2081,0.411705922802645,0.416691844200127,0.404489725299742,0.500002162120832,0.234426074232478
2140,0.500002066197682,0.411267055926355,0.41628277780711,0.404269855509639,0.234397332443376
2208,0.5,0.411386213059452,0.416310918194391,0.40478036731439,0.234266153534334
2276,0.411179136664387,0.415682407670781,0.403891894343842,0.500003113767131,0.234210766964182
2345,0.5,0.410942052108496,0.415777433981609,0.403871276082281,0.233821956685608
2409,0.415921803739865,0.403672824899395,0.5,0.411081318857354,0.235356543017318
2478,0.404259851738593,0.500002034914837,0.411067893083214,0.416072950311232,0.232423065356517
2547,0.404253825190093,0.500002962907351,0.411271334233226,0.415935596865618,0.233287302175384
2617,0.500000965611183,0.410815282838774,0.415588598045308,0.403599991558067,0.233519027557642
2680,0.411216466557549,0.416116448217755,0.404172381201085,0.500002955389009,0.231783263563235
2741,0.411346215498413,0.416077007686419,0.404438942832191,0.500002955389009,0.231678737632731
2809,0.416171617218501,0.404444311651029,0.5,0.411952262190146,0.234946747812175
2877,0.415642187104361,0.403978320683413,0.500001005457308,0.410535917381411,0.235174612937026
2942,0.50000100218329,0.410856068835323,0.41560513017194,0.403533778534726,0.234399734661092
3013,0.415735818557412,0.403820562138511,0.500001005457308,0.410866909577619,0.235839655308854
3079,0.500003023246554,0.41071060333108,0.415624873022712,0.403627558990292,0.234514762963066
3142,0.500002014094405,0.410646980254655,0.415305817472851,0.40288719091155,0.233236290918045
3217,0.415871319027827,0.404195462037112,0.5,0.411314002771232,0.236027449057294
3266,0.5,0.410605523098779,0.415141413457728,0.403441678082118,0.232430705220706
3344,0.50000100218329,0.411322510683125,0.415659352924733,0.403964842508659,0.233403923312541
3413,0.411374982178204,0.415902781410522,0.404010106119804,0.500002955389009,0.232549880528867
3473,0.411724536490127,0.416146048686753,0.40424429756031,0.500002955389009,0.231094651395883
3542,0.416131326315114,0.404601800328735,0.5,0.411738943636484,0.235265668782337
3615,0.500001021646251,0.411269571346209,0.416096670143867,0.404254407211499,0.23475600620888
3672,0.410922724203691,0.41526132270779,0.403763010815076,0.500003070576698,0.231897545286081
3738,0.410951831461825,0.415367384035018,0.403567643715895,0.500003070576698,0.234453903915963
3816,0.415977254566595,0.404028567009545,0.500003125863062,0.411152356247205,0.233309881024691
3872,0.411394020611349,0.415949252342976,0.404156646868756,0.500003195381556,0.232136965724752
3939,0.5,0.410439944427568,0.415342867427878,0.403357889731934,0.234448834556236
4006,0.415896461508478,0.403855334594493,0.500002191151103,0.41081174771454,0.232535269329476
4079,0.5,0.411239611067335,0.41581726274392,0.404045656124603,0.233740483379982
4146,0.5,0.410425802765982,0.415376918813031,0.403457928168474,0.235025156650124
4208,0.411504826992864,0.415861804100607,0.404134083311867,0.500003001851942,0.231958975743329
4277,0.500002026174765,0.410894424992167,0.415596019508596,0.404037114539939,0.235400010340829
4347,0.500002000683882,0.411205387059702,0.415701889504405,0.403844374819859,0.234004347872604
4412,0.500002000683882,0.411151024864634,0.415754830003317,0.404245341246267,0.233785551308555
4472,0.410560266371876,0.415436014699446,0.403457350306113,0.500003070576698,0.23256771616835
4546,0.50000100218329,0.410990618352236,0.415790241828052,0.403884822081823,0.233932487288653
4611,0.410978982372494,0.415546824885758,0.403664522076182,0.500003070576698,0.233184894430787
4674,0.415643604784608,0.403541225597309,0.500001982848517,0.410891797971835,0.234906666090767
4748,0.415669698766357,0.403775872652687,0.500001982848517,0.411043777060654,0.235001831065673
4807,0.415619592833573,0.403415051702137,0.50000201649846,0.410494584634928,0.236181519571845
4875,0.411597417183678,0.416092051835213,0.404332766310253,0.500002955389009,0.231844096594779
4944,0.50000100218329,0.411081931837965,0.41566000133572,0.403595146392323,0.232127690518299
5017,0.415467819773144,0.404126335840617,0.500001982848517,0.411153120759559,0.234546589951243
5080,0.415758039627538,0.403524502187565,0.50000201649846,0.410994957295635,0.236195941974074
5140,0.415969480726562,0.404129230020275,0.500001999372357,0.411322367385038,0.235516572310754
5208,0.415390531591838,0.403818612642029,0.500001982848517,0.411004470905094,0.235189836652946
5278,0.50000100218329,0.410889558558503,0.415751779455272,0.404251674583006,0.233182961268669
5340,0.415636310673713,0.403921375691745,0.500001982848517,0.411147551591468,0.235260863222469
5413,0.415551811226641,0.403877659333006,0.500001982848517,0.410989558034883,0.236542314530734
5472,0.415642386263618,0.403767780703148,0.500001982848517,0.410792251467658,0.234652475746774
5544,0.500001906341929,0.411197607490835,0.415793234513318,0.404014877977299,0.233839589786424
5621,0.4114101728845,0.416176080816018,0.404617069543301,0.500002955389009,0.231657066594621
5673,0.500001906341929,0.41073378391001,0.415637732864167,0.403358416869427,0.233606038164664
5745,0.41170186887299,0.416209796406845,0.404159296485062,0.500002955389009,0.231821504723109
5814,0.415980450483457,0.404295224641447,0.500001972024633,0.411547742098045,0.234994189512628
5880,0.415982055578673,0.404366412781848,0.500001972024633,0.411208317362564,0.236740467831886
5941,0.41174383142428,0.416021533954348,0.404082754511347,0.500002955389009,0.233088097243931
6014,0.411296291362996,0.416146010137897,0.404190636093538,0.500002955389009,0.232336074853644
6078,0.41132155524832,0.415823616083208,0.404443429021091,0.500002955389009,0.231664511669174
6150,0.411672293688418,0.416105320768562,0.404226178844491,0.500002955389009,0.232189179570799
6211,0.500001021646251,0.411527407248952,0.416289899645776,0.403980661230061,0.234649140117703
6272,0.500001021646251,0.411386446544551,0.415783252314411,0.404635587601923,0.234449038002547
6336,0.404422592419202,0.500003130715974,0.411488284630016,0.416280842428974,0.233251296442591
6412,0.5,0.410683460297452,0.415662847517588,0.40349008316726,0.234525112007182
6471,0.500002129630501,0.410825730497637,0.415589759815782,0.403871549723936,0.233882761650048
6544,0.500002129630501,0.411652624482856,0.415674625927545,0.404088456946724,0.234382595866084
6615,0.5,0.410598482033143,0.414849654737727,0.403578035018391,0.233054742953012
6676,0.500002000683882,0.411191885568269,0.415574368175445,0.404072155698935,0.233422614979633
6744,0.411197691041817,0.415369055098838,0.403798968547425,0.500003070576698,0.233535554952229
6815,0.415539015460654,0.403755124187998,0.50000201649846,0.410989092040314,0.235293544904956
6875,0.500001021646251,0.411453889087277,0.416151108438343,0.403955568082224,0.234485132206405
6944,0.50000100218329,0.410885781300143,0.415798868499615,0.403698758440105,0.234258144572142
7017,0.403594711606391,0.500003059304806,0.411387354029756,0.415874244644792,0.234037568283516
7081,0.415893460523102,0.404260265765252,0.5,0.41143126029249,0.234469475553167
7146,0.5,0.410774179313771,0.415439962567831,0.403712663943807,0.234935247700924
7214,0.500001021646251,0.411345266893283,0.416287595983568,0.404124543718991,0.234400661503267
7272,0.403734571274852,0.500001052616697,0.411305014138902,0.415666613064338,0.234146849295236
7340,0.415649671626975,0.403992199325623,0.50000201649846,0.410913489475267,0.234941692112719
7409,0.411390864097318,0.416097475446017,0.404300692971329,0.500002963470067,0.231652366486971
7478,0.50000100218329,0.410869167667908,0.415648503342638,0.404258026478293,0.233361049162207
7547,0.411129322744693,0.415416205557301,0.403587513090506,0.500003070576698,0.233500375957846
7613,0.415691669651437,0.403772519982917,0.500001988304435,0.410767688972032,0.236722835843475
7675,0.411129086529604,0.416192005849465,0.404622753959007,0.500002963470067,0.231115438295988
7745,0.415907380865992,0.404190986659805,0.5,0.411496396694195,0.235761595351326
7807,0.411510078101606,0.416091730898647,0.404265218685711,0.500002963470067,0.232028618774066
7874,0.41619248901792,0.404139891813337,0.5,0.411465625074122,0.236783963015871
7943,0.415596363354117,0.40386153756717,0.500001988304435,0.410899927124977,0.234976513144475
8011,0.410827375866247,0.415142738941407,0.403703227544561,0.500003133280644,0.233155567613171
8076,0.411572776676892,0.415764833247221,0.403545351699457,0.500003070576698,0.233595744707746
8144,0.411221307255277,0.415972743046057,0.404654016741937,0.500002955389009,0.232416832683057
8213,0.411848784950457,0.415970043889098,0.404940544114471,0.500002955389009,0.232127282805108
8273,0.415671454074026,0.403731004478815,0.500001982848517,0.411409298386862,0.235958242736116
8346,0.5,0.410969501485462,0.415373510038529,0.403668585214957,0.235377332316898
8408,0.411582716269637,0.415985113802686,0.404519042082172,0.500002955389009,0.231889913922954
8476,0.403807246848236,0.500001052616697,0.411162937464761,0.415601703462152,0.235285482618231
8547,0.5,0.410813595067309,0.415433405693414,0.403681647851466,0.233312635777482
8617,0.415700954546759,0.403751988519375,0.500001988304435,0.410834479012866,0.234560165878352
8678,0.415686601754175,0.403629022222798,0.500001988304435,0.41055825123935,0.235542400822995
8739,0.411046179067499,0.415759683169218,0.403647285878746,0.500003070576698,0.23233262333366
8813,0.41073021684598,0.415645661460068,0.403394147574594,0.500003070576698,0.233597878941823
8871,0.416084449337488,0.403698049986888,0.500002033590626,0.411423057505304,0.235942530321538
8948,0.411225240106596,0.415278451236366,0.403895513456897,0.500003070576698,0.232440135550926
9003,0.410966437485649,0.415367735193526,0.403679321607951,0.500003070576698,0.233501945276903
9082,0.415555718067876,0.40379270511116,0.500001988304435,0.411113565155047,0.235032734527423
9139,0.415362208934588,0.403662220488879,0.500002133556428,0.410866370308742,0.23446424157917
9205,0.411096305909107,0.416018175989871,0.403992645732881,0.50000104829122,0.23377420130293
9266,0.415829308414757,0.40391445082412,0.500001988304435,0.411039896043177,0.235986928723485
9336,0.415599249471897,0.403588658216752,0.500002133556428,0.410656631197427,0.234010050458524
9408,0.410894917928931,0.415558940586341,0.403540043950838,0.500003070576698,0.233386787897807
9475,0.5,0.410289255233867,0.415148225473515,0.403593990231459,0.233674880106033
9551,0.415840305451477,0.403703528748896,0.50000201649846,0.411127559996356,0.235164573050435
9614,0.41604487154005,0.404123930241537,0.5,0.41141103217589,0.235062176797898
9679,0.415555829602506,0.403848370556496,0.50000201649846,0.410978940424478,0.235829366025151
9740,0.411296105770365,0.416020037551187,0.404382989221769,0.500002963470067,0.231529499063134
9809,0.41603994529213,0.404253588825493,0.5,0.411422326877189,0.23439569909813
9879,0.415769504432983,0.403911243530231,0.500001988304435,0.411298340279155,0.235084475943599
9939,0.411120863090768,0.41608156810609,0.404335765806603,0.500002963470067,0.232921277975776
10005,0.411644999444333,0.416509639656062,0.404197366046827,0.500002955389009,0.232131993760961
10076,0.416211954141784,0.404138443282672,0.5,0.411209086758517,0.235164040006581
10152,0.500002013640506,0.411038489632951,0.415419098299671,0.403436335145212,0.23355082154609
10200,0.403600919358629,0.500001052616697,0.410910167161286,0.415613746948991,0.233722013499462
10277,0.416049794227086,0.403927575681077,0.5,0.410934419497353,0.234669402646712
10343,0.415868338600136,0.404144208222726,0.500003125863062,0.411484652273424,0.234041607405561
10413,0.500001021646251,0.411628205990712,0.416184406916582,0.404222614930386,0.234883391073433
10475,0.5,0.410994444030437,0.415477684829294,0.403583504141443,0.234107603483114
10546,0.415700858501905,0.403920569328065,0.50000201649846,0.410686932020624,0.235336142368035
10614,0.415705148707068,0.403858343275899,0.50000201649846,0.410888783402123,0.235380978154632
10672,0.500001021646251,0.411804471556401,0.416000773102171,0.404324451339302,0.235327314678843
10742,0.5,0.411614457694478,0.415505856803075,0.40411900221558,0.233699737933255
10813,0.41619941454755,0.404420995386522,0.5,0.411435937799065,0.234233450778147
10874,0.500001906341929,0.410932411421562,0.415588960564807,0.403658630117711,0.23231238608151
10943,0.404591144877099,0.500002056880546,0.411624618795432,0.416308330348012,0.233812248501771
11016,0.415868976630648,0.403568672769127,0.50000201649846,0.411430938295454,0.234647774881445
11081,0.415555340080191,0.403654499665017,0.50000201649846,0.410969824619963,0.236201689674717
11141,0.415679049883837,0.403581749723312,0.50000201649846,0.41133201589615,0.235967224798396
11212,0.500002000683882,0.410624217200871,0.416052844672843,0.403492433018928,0.233147138313073
11273,0.500002000683882,0.411501639920673,0.415581475576855,0.403498322400717,0.232556026692898
11349,0.500002000683882,0.41140332090149,0.415863179898846,0.40428188626002,0.233592449014466
11408,0.500002000683882,0.410999731253011,0.415702835537255,0.404065132325377,0.232967709363676
11478,0.500002000683882,0.411349356138199,0.415778172370297,0.404326428553678,0.233297650161405
11541,0.50000100868555,0.41105266124607,0.416045524684247,0.40413771525108,0.233587114461758
11613,0.500002000683882,0.411051936574584,0.415811926343922,0.404018154250869,0.232942621411777
11681,0.404077225700937,0.500002056880546,0.411678902449668,0.416238861965226,0.235004118652109
11740,0.403452208777551,0.500001086450617,0.410644655968569,0.415925314611786,0.23338862441335
11807,0.41609162011026,0.404147876455544,0.5,0.411494832390336,0.235139919701516
11876,0.5,0.411394170430051,0.415830310995297,0.403979277997444,0.233729873486487
11944,0.416752934504323,0.404843450712327,0.500002070475455,0.412059598617431,0.234454725291893
12013,0.416318534247955,0.404252599125139,0.500002120418456,0.41154290817726,0.235696241552168
12080,0.412251791515839,0.416835073338529,0.405186251453866,0.500001010349217,0.232686330372328
12142,0.500003035334568,0.412495276342997,0.416814985362996,0.405383204585235,0.234565571315563
12211,0.500001115816975,0.412796697496878,0.417314050884737,0.405726791396464,0.235594749440729
12278,0.500003312753253,0.411658907426626,0.416515287568743,0.405260851241632,0.235128422280949
12341,0.5,0.411754562885025,0.41683421619069,0.405154175506414,0.232986728332743
12410,0.405140823987502,0.500001109694459,0.411816677190401,0.416449506387437,0.232859446623309
12476,0.5,0.41263659185048,0.417356240133776,0.40600690765973,0.234100070015303
12540,0.404882063056843,0.500001109694459,0.411907821065478,0.416425129979363,0.231664069812898
12612,0.50000215931962,0.412694939289337,0.417357261233685,0.405693038606027,0.234360856781963
12674,0.40487068125064,0.500001109694459,0.411862619062873,0.416529114163816,0.232776142551549
12742,0.5,0.41256579759913,0.416764356651563,0.405163390217938,0.23437520407799
12810,0.500003359948429,0.412033107611606,0.416682821272903,0.404921532526626,0.234185897138399
12876,0.417059342713896,0.405017620492407,0.500002049697264,0.41193048031308,0.233948492485042
12943,0.5,0.411706266561693,0.416703818409497,0.404926683302682,0.2339080317436
13015,0.416570158303389,0.404437285036761,0.500002106164148,0.411326155652437,0.233668914365324
13079,0.412602127248524,0.416716650653827,0.404782958058964,0.500002014938507,0.232643476200386
13146,0.5,0.412563657988508,0.416783884288777,0.405787401357939,0.234956100151606
13208,0.500001010708155,0.412146613694229,0.417120912077955,0.405604295197023,0.234704291045504
13278,0.405114626930163,0.500000993169809,0.411777070588515,0.416586262172347,0.23446764931159
13340,0.5,0.412158654786474,0.416653361083853,0.405603862071878,0.233215847624729
13407,0.5,0.411753305053884,0.417094314807944,0.405022359370134,0.233271794569729
13472,0.5,0.411768598032058,0.416682975614416,0.404707730832266,0.234334122134901
13540,0.500001073517469,0.411471404193525,0.416186614682672,0.404394594747471,0.234886627765989
13611,0.500001073517469,0.411877616745033,0.416247290986674,0.404623472324534,0.234758250869225
13679,0.417080637487819,0.404966469858557,0.500001011624211,0.41211849497541,0.234682545119946
13744,0.5,0.411989828945435,0.416439810198727,0.404635633591654,0.232580392193322
13814,0.417129695966246,0.405093934419787,0.500001011624211,0.412300845116366,0.233721842940751
13869,0.500001073517469,0.411772571258732,0.41609066857128,0.404555808237975,0.233849440556877
13946,0.416952777636131,0.405369392693849,0.500001011624211,0.412143245941206,0.234414654599036
14010,0.500002026371797,0.411606717320863,0.416385032462241,0.404756862756472,0.233833288047825
14085,0.5,0.41210672263787,0.416797213153139,0.404630332532822,0.23167903994682
14137,0.500002091818881,0.411541975475168,0.415759043333701,0.404629509302157,0.233123861322899
14213,0.416472639951715,0.404868912189031,0.500001047553607,0.411904213418605,0.234358483405024
14272,0.412021462437311,0.41655225605406,0.404947821802172,0.500003066108595,0.234456585351324
14342,0.5,0.411437508438748,0.416406934544338,0.404262820673488,0.235067002174524
14413,0.40401986240813,0.500003129515262,0.411055383055434,0.415816502796573,0.233383767233561
14475,0.50000310325404,0.411658873096622,0.416585598395952,0.40533203271446,0.233570329898644
14544,0.5,0.412320326175202,0.416718551873653,0.405649607883519,0.23331159711096
14619,0.5,0.41222228053886,0.416834804078398,0.40542414338348,0.233497341296337
14669,0.5,0.412153882395854,0.416922343446604,0.404897647121749,0.233502596775243
14743,0.411559555691683,0.416160265888198,0.404951391263239,0.500002110893198,0.233436914467451
14812,0.416504873179011,0.404795750772427,0.500001041582621,0.411469282385762,0.23518667192148
14872,0.5,0.412513942989252,0.416859503170677,0.405140618024423,0.233162857030179
14942,0.5,0.412390430405627,0.416658713230675,0.405343652557743,0.233167572417287
